left_eye,forehead,right_eye,nose_bridge,left_cheek,right_cheek,nose,mouth
0.98,0.2,0.63,0.17,1.0,0.19,1.0,1.0
0.0,0.0,0.0,0.0,0.11,0.07,0.58,0.75
0.41,0.3,0.29,0.22,0.97,0.24,1.0,0.9
0.67,0.0,0.41,0.17,0.78,0.24,1.0,1.0
0.82,0.4,0.94,0.0,0.5,0.33,0.42,0.55
0.2,0.4,0.39,0.06,0.11,0.24,0.67,1.0
0.39,0.5,0.14,0.0,0.42,0.17,0.5,0.9
0.39,0.0,0.41,0.28,0.0,0.1,0.08,0.6
0.04,0.0,0.0,0.17,0.22,0.52,0.92,0.95
0.04,0.0,0.18,0.39,1.0,0.76,1.0,1.0
0.84,0.3,0.88,0.28,0.61,0.19,0.75,0.7
0.94,1.0,1.0,1.0,0.42,1.0,1.0,1.0
0.84,0.8,1.0,0.67,0.22,1.0,0.67,1.0
0.39,0.3,1.0,0.17,0.5,1.0,0.92,1.0
1.0,0.2,0.0,0.33,1.0,0.12,1.0,1.0
0.0,0.0,0.04,0.11,0.42,0.07,1.0,1.0
0.8,0.2,0.73,0.72,0.58,0.88,1.0,1.0
0.57,0.0,0.82,0.22,0.28,0.81,1.0,1.0
0.55,0.2,0.61,0.61,0.69,0.83,1.0,1.0
0.92,0.5,0.65,0.44,0.53,0.02,0.42,0.35
0.49,1.0,1.0,0.17,0.33,0.83,0.92,0.8
0.86,1.0,0.86,0.06,0.0,0.0,0.0,0.0
0.84,0.1,0.92,0.28,0.83,1.0,1.0,1.0
0.22,0.2,0.98,0.5,0.25,1.0,0.83,0.95
0.31,0.2,0.84,0.39,0.33,0.71,1.0,1.0
0.94,0.8,0.63,0.22,0.17,0.0,0.0,0.0
0.18,0.4,0.98,0.28,0.28,0.48,0.75,0.9
0.57,0.4,1.0,0.0,0.33,1.0,0.42,0.6
0.59,0.0,0.0,0.0,0.44,0.0,0.25,0.45
0.92,0.0,1.0,0.11,1.0,0.86,1.0,1.0
0.63,1.0,0.53,0.72,0.19,0.52,0.67,1.0
0.88,0.4,0.39,0.11,1.0,0.29,0.42,0.7
0.53,0.0,0.59,0.44,0.86,1.0,1.0,0.9
0.88,0.6,1.0,0.5,0.67,1.0,0.92,0.85
0.78,0.7,0.94,1.0,0.64,1.0,1.0,1.0
0.51,0.2,0.94,0.11,0.31,1.0,0.83,0.7
0.49,0.1,0.35,0.39,0.69,0.33,0.42,0.7
0.9,0.2,0.67,0.61,0.25,0.69,0.83,0.8
0.69,0.1,0.8,0.61,0.58,0.38,0.92,1.0
0.82,0.4,0.57,0.33,0.89,0.57,0.67,1.0
0.73,0.2,0.76,0.11,0.83,0.69,1.0,1.0
0.92,0.4,1.0,0.06,0.61,1.0,0.83,0.8
0.82,0.6,0.8,0.22,0.56,0.45,0.08,0.65
1.0,1.0,0.86,1.0,0.92,0.71,1.0,1.0
0.96,0.4,0.63,0.06,0.75,0.24,0.83,0.9
0.22,0.0,0.0,0.17,0.81,0.5,1.0,1.0
0.47,0.2,0.63,0.39,0.47,0.33,0.83,0.85
0.0,0.0,0.59,0.33,0.17,0.5,0.83,0.6
0.71,0.3,0.71,0.22,0.36,0.52,0.75,0.7
0.63,1.0,1.0,0.94,0.53,0.55,0.75,0.45
0.65,0.4,0.63,0.0,0.03,0.12,0.0,0.0
0.78,0.4,0.59,0.28,0.0,0.36,0.0,0.1
0.04,0.1,0.78,0.0,0.0,0.0,0.0,0.0
0.73,1.0,0.35,0.5,0.47,0.52,0.92,0.95
0.96,0.0,0.57,0.56,0.75,0.31,1.0,0.85
