left_eye,forehead,right_eye,nose_bridge,left_cheek,right_cheek,nose,mouth
0.45,0.2,0.59,0.61,0.25,0.1,0.67,0.95
0.43,0.2,0.45,0.72,0.33,0.17,0.92,1.0
0.43,0.3,0.37,0.61,0.22,0.36,0.75,0.85
0.51,0.3,0.55,0.67,0.17,0.36,0.67,1.0
0.18,0.0,0.31,0.11,0.08,0.0,0.0,0.8
0.24,0.0,0.2,0.11,0.11,0.0,0.0,0.8
0.24,0.0,0.24,0.17,0.06,0.0,0.0,0.7
0.16,0.0,0.27,0.17,0.08,0.0,0.0,0.9
0.47,0.2,0.37,0.28,0.19,0.26,0.25,0.9
0.35,0.4,0.41,0.22,0.08,0.24,0.08,0.85
0.55,0.2,0.41,0.22,0.31,0.05,0.58,1.0
0.47,0.1,0.37,0.39,0.31,0.0,0.25,1.0
0.45,0.2,0.24,0.17,0.28,0.0,0.0,0.95
0.69,0.2,0.8,0.33,0.19,0.24,1.0,1.0
0.65,0.6,0.65,0.17,0.28,0.31,1.0,0.85
0.67,0.4,0.71,0.0,0.06,0.14,1.0,1.0
0.69,0.6,0.73,0.28,0.44,0.45,1.0,0.6
0.65,0.3,0.76,0.39,0.42,0.5,0.83,0.4
0.61,0.2,0.63,0.0,0.08,0.12,1.0,0.8
0.45,0.3,0.47,0.11,0.17,0.17,1.0,0.6
0.59,0.2,0.51,0.0,0.06,0.1,1.0,1.0
0.53,0.1,0.69,0.0,0.08,0.1,1.0,0.75
0.57,0.1,0.61,0.0,0.22,0.24,1.0,0.5
0.55,0.1,0.59,0.0,0.11,0.21,1.0,0.55
0.63,0.2,0.47,0.0,0.25,0.24,1.0,0.6
0.49,0.1,0.57,0.0,0.19,0.17,1.0,0.55
0.73,0.4,0.39,0.33,0.58,0.02,0.08,0.75
0.82,0.2,0.55,0.22,0.64,0.02,0.33,0.95
0.67,0.6,0.43,0.28,0.5,0.02,0.08,0.95
0.69,0.2,0.39,0.28,0.64,0.12,0.25,0.75
0.65,0.2,0.41,0.28,0.64,0.07,0.08,0.6
0.67,0.5,0.33,0.22,0.5,0.07,0.17,0.7
0.51,0.2,0.63,0.11,0.0,0.0,0.25,0.65
0.51,0.3,0.57,0.11,0.0,0.0,0.33,0.8
0.51,0.1,0.63,0.0,0.03,0.0,0.08,0.55
0.53,0.2,0.59,0.11,0.0,0.0,0.25,0.8
0.47,0.4,0.47,0.22,0.06,0.0,0.08,0.4
0.51,0.1,0.61,0.0,0.08,0.0,0.08,0.65
