left_eye,forehead,right_eye,nose_bridge,left_cheek,right_cheek,nose,mouth
0.86,0.2,0.8,0.11,0.58,0.0,0.83,0.65
1.0,1.0,0.82,0.5,0.33,0.5,1.0,1.0
0.84,0.8,0.94,0.17,0.67,0.88,1.0,0.9
0.43,0.3,0.82,0.22,0.08,0.1,0.58,0.0
1.0,1.0,0.59,1.0,1.0,0.0,0.58,1.0
0.84,0.5,0.88,1.0,0.97,0.93,1.0,1.0
0.8,0.2,1.0,0.06,0.78,1.0,1.0,0.95
0.57,0.1,1.0,0.0,0.42,1.0,0.5,0.8
0.76,0.7,0.73,0.33,0.58,0.88,0.25,0.8
0.96,0.0,0.0,0.06,1.0,0.0,0.58,0.6
0.71,0.2,0.8,0.0,0.39,0.6,0.67,0.55
0.71,0.9,0.92,0.78,0.25,0.62,0.33,0.35
0.59,0.8,0.73,0.39,0.28,0.52,0.67,0.75
0.9,1.0,0.86,0.44,0.67,0.6,0.5,0.1
0.67,0.7,0.67,0.56,0.72,0.43,0.5,0.95
0.88,0.3,0.57,0.5,0.31,0.1,0.42,0.65
0.82,0.5,0.57,0.44,0.39,0.02,0.25,0.4
0.94,1.0,0.86,0.56,0.0,0.0,0.0,0.0
0.37,0.8,0.86,0.61,0.0,0.52,0.5,0.35
0.1,0.0,0.63,0.22,0.61,0.33,1.0,1.0
0.76,0.3,0.96,0.67,0.28,0.43,1.0,0.7
0.86,0.2,0.88,0.61,0.44,0.52,0.75,1.0
0.88,0.3,0.65,0.67,0.83,0.95,1.0,1.0
0.9,0.4,1.0,0.67,0.78,0.9,1.0,1.0
0.0,0.0,0.45,0.0,0.08,0.1,0.67,1.0
0.31,0.4,0.94,0.11,0.0,0.0,0.0,0.0
1.0,1.0,0.29,0.0,0.89,0.0,0.5,0.3
0.8,0.6,0.76,0.11,0.0,0.0,0.0,0.0
0.76,0.5,0.71,0.44,0.0,0.0,0.0,0.0
0.73,0.5,0.37,0.44,0.0,0.0,0.0,0.0
0.67,0.6,0.71,0.61,0.72,0.81,1.0,1.0
0.8,0.0,0.71,0.39,0.56,0.64,1.0,1.0
1.0,0.7,1.0,0.28,0.5,0.4,1.0,1.0
1.0,1.0,0.86,0.78,0.5,0.9,1.0,1.0
0.59,0.1,0.51,0.39,1.0,0.43,1.0,1.0
0.33,0.2,1.0,0.83,0.22,1.0,1.0,1.0
0.45,0.1,0.96,0.72,0.14,1.0,0.92,1.0
0.9,0.7,1.0,1.0,0.44,0.55,0.92,1.0
0.69,0.7,0.71,0.11,0.39,0.29,0.17,0.4
0.61,0.2,0.82,0.5,0.56,0.17,0.5,0.8
0.53,0.3,0.27,0.22,0.0,0.14,0.0,0.7
1.0,1.0,0.86,1.0,0.89,1.0,1.0,1.0
0.67,0.3,0.61,0.5,0.17,0.12,0.0,0.85
0.57,0.8,0.49,0.17,0.11,0.83,0.17,0.15
0.67,0.2,0.86,0.28,0.61,0.93,1.0,1.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.11,0.44,0.55,1.0,1.0
0.82,0.0,0.0,0.0,0.22,0.0,0.0,0.1
0.92,0.4,0.2,0.33,1.0,0.24,0.92,0.9
0.73,0.2,0.86,0.11,0.03,0.0,0.0,0.85
0.63,0.5,0.71,0.39,0.42,0.29,0.83,0.85
0.94,1.0,0.37,0.5,0.94,0.05,0.58,0.85
0.88,0.5,0.51,0.06,0.17,0.0,0.0,0.25
0.96,0.4,1.0,0.61,0.36,0.69,1.0,1.0
0.22,0.0,0.57,0.28,0.61,0.5,0.75,0.3
0.59,0.2,0.78,0.0,0.0,0.0,0.0,0.1
0.73,0.3,0.86,0.0,0.33,0.0,0.0,0.1
1.0,0.5,1.0,0.39,0.25,0.52,0.42,1.0
0.73,0.2,0.47,0.44,0.17,0.19,0.5,1.0
0.06,0.0,0.18,0.17,0.42,0.55,0.58,0.8
0.65,0.6,0.12,0.06,0.22,0.05,0.0,0.65
0.59,0.0,0.43,0.28,0.39,0.19,0.67,0.85
0.41,0.2,0.67,0.5,0.33,0.43,0.67,0.6
0.65,0.0,0.57,0.11,0.61,0.6,1.0,1.0
0.76,0.0,0.78,0.22,0.61,0.4,1.0,1.0
0.73,0.0,0.86,0.06,0.5,0.4,1.0,1.0
0.29,0.1,0.55,0.17,0.39,0.48,1.0,1.0
0.55,0.0,0.12,0.0,0.28,0.07,0.5,1.0
0.53,0.0,0.65,0.11,0.22,0.07,0.75,0.05
0.71,0.2,0.9,0.67,0.5,0.62,1.0,1.0
0.43,0.0,0.31,0.17,0.61,0.67,0.75,1.0
0.69,0.6,0.53,0.17,0.5,0.1,0.58,0.8
0.29,0.2,0.82,0.0,0.42,0.4,0.67,1.0
0.9,1.0,0.65,0.56,0.33,0.14,0.83,0.75
0.88,1.0,0.92,0.67,0.58,0.33,1.0,1.0
0.71,0.3,1.0,0.33,0.28,1.0,1.0,1.0
0.69,0.0,0.55,0.17,1.0,0.69,1.0,1.0
0.9,0.4,0.98,1.0,0.42,1.0,1.0,1.0
1.0,0.2,0.86,0.06,0.0,0.12,0.0,0.55
0.78,0.8,0.41,0.61,0.58,0.79,1.0,1.0
0.84,0.7,0.37,0.0,0.0,0.0,0.0,0.0
0.78,0.2,0.88,0.11,0.31,0.17,0.5,1.0
0.57,0.0,0.82,0.56,0.92,0.83,1.0,1.0
0.76,0.4,1.0,0.11,0.17,0.33,0.33,0.5
1.0,1.0,1.0,0.22,0.17,0.0,0.0,0.5
0.49,0.0,0.67,0.44,0.56,0.0,0.0,0.45
0.55,0.2,0.55,0.67,0.42,0.83,1.0,1.0
0.82,0.7,0.86,0.44,0.39,0.0,0.75,0.8
0.96,0.7,1.0,0.5,0.81,1.0,1.0,1.0
0.53,0.5,1.0,0.5,0.81,1.0,1.0,1.0
0.69,0.0,0.51,0.44,0.44,0.19,0.58,1.0
0.86,0.4,0.37,0.17,0.61,0.21,1.0,0.6
0.82,1.0,0.9,0.44,0.53,0.19,0.83,0.4
0.98,1.0,0.8,0.67,0.53,0.1,0.58,0.45
0.86,0.9,0.43,0.67,0.39,0.29,0.75,0.85
0.78,0.4,0.55,0.22,0.61,0.29,1.0,0.7
