feature,class
12.0,2.0
24.0,3.0
36.0,3.0
48.0,3.0
60.0,3.0
12.0,3.0
24.0,3.0
36.0,3.0
48.0,3.0
60.0,3.0
12.0,3.0
24.0,3.0
36.0,3.0
48.0,3.0
60.0,3.0
12.0,3.0
24.0,3.0
36.0,3.0
48.0,3.0
60.0,3.0
12.0,3.0
24.0,3.0
36.0,3.0
48.0,3.0
60.0,3.0
6.0,1.0
12.0,2.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,2.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,3.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,3.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,3.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
4.0,1.0
8.0,1.0
12.0,2.0
16.0,3.0
20.0,3.0
4.0,1.0
8.0,3.0
12.0,3.0
16.0,3.0
20.0,3.0
4.0,2.0
8.0,3.0
12.0,3.0
16.0,3.0
20.0,3.0
4.0,3.0
8.0,3.0
12.0,3.0
16.0,3.0
20.0,3.0
4.0,3.0
8.0,3.0
12.0,3.0
16.0,3.0
20.0,3.0
3.0,1.0
6.0,1.0
9.0,1.0
12.0,2.0
15.0,3.0
3.0,1.0
6.0,2.0
9.0,3.0
12.0,3.0
15.0,3.0
3.0,1.0
6.0,3.0
9.0,3.0
12.0,3.0
15.0,3.0
3.0,2.0
6.0,3.0
9.0,3.0
12.0,3.0
15.0,3.0
3.0,3.0
6.0,3.0
9.0,3.0
12.0,3.0
15.0,3.0
2.3999999999999999,1.0
4.7999999999999998,1.0
7.1999999999999993,1.0
9.5999999999999996,1.0
12.0,2.0
2.3999999999999999,1.0
4.7999999999999998,1.0
7.1999999999999993,3.0
9.5999999999999996,3.0
12.0,3.0
2.3999999999999999,1.0
4.7999999999999998,3.0
7.1999999999999993,3.0
9.5999999999999996,3.0
12.0,3.0
2.3999999999999999,1.0
4.7999999999999998,3.0
7.1999999999999993,3.0
9.5999999999999996,3.0
12.0,3.0
2.3999999999999999,2.0
4.7999999999999998,3.0
7.1999999999999993,3.0
9.5999999999999996,3.0
12.0,3.0
6.0,1.0
12.0,2.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,2.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,3.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,3.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,3.0
12.0,3.0
