@relation f
@attribute f1 numeric
@attribute classes {1.0 2.0 3.0}
@data
9.0,2.0
-63.0,3.0
-135.0,3.0
-207.0,3.0
-279.0,3.0
-67.5,3.0
-144.0,3.0
-220.5,3.0
-297.0,3.0
-373.5,3.0
-141.0,3.0
-219.0,3.0
-297.0,3.0
-375.0,3.0
-453.0,3.0
-213.75,3.0
-292.5,3.0
-371.25,3.0
-450.0,3.0
-528.75,3.0
-286.19999999999999,3.0
-365.39999999999998,3.0
-444.60000000000002,3.0
-523.79999999999995,3.0
-603.0,3.0
81.0,1.0
9.0,2.0
-63.0,3.0
-135.0,3.0
-207.0,3.0
4.5,2.0
-72.0,3.0
-148.5,3.0
-225.0,3.0
-301.5,3.0
-69.0,3.0
-147.0,3.0
-225.0,3.0
-303.0,3.0
-381.0,3.0
-141.75,3.0
-220.5,3.0
-299.25,3.0
-378.0,3.0
-456.75,3.0
-214.19999999999999,3.0
-293.39999999999998,3.0
-372.60000000000002,3.0
-451.80000000000001,3.0
-531.0,3.0
153.0,1.0
81.0,1.0
9.0,2.0
-63.0,3.0
-135.0,3.0
76.5,1.0
0.0,3.0
-76.5,3.0
-153.0,3.0
-229.5,3.0
3.0,2.0
-75.0,3.0
-153.0,3.0
-231.0,3.0
-309.0,3.0
-69.75,3.0
-148.5,3.0
-227.25,3.0
-306.0,3.0
-384.75,3.0
-142.19999999999999,3.0
-221.40000000000001,3.0
-300.60000000000002,3.0
-379.80000000000001,3.0
-459.0,3.0
225.0,1.0
153.0,1.0
81.0,1.0
9.0,2.0
-63.0,3.0
148.5,1.0
72.0,2.0
-4.5,3.0
-81.0,3.0
-157.5,3.0
75.0,1.0
-3.0,3.0
-81.0,3.0
-159.0,3.0
-237.0,3.0
2.25,2.0
-76.5,3.0
-155.25,3.0
-234.0,3.0
-312.75,3.0
-70.200000000000003,3.0
-149.40000000000001,3.0
-228.59999999999999,3.0
-307.80000000000001,3.0
-387.0,3.0
297.0,1.0
225.0,1.0
153.0,1.0
81.0,1.0
9.0,2.0
220.5,1.0
144.0,1.0
67.5,3.0
-9.0,3.0
-85.5,3.0
147.0,1.0
69.0,3.0
-9.0,3.0
-87.0,3.0
-165.0,3.0
74.25,1.0
-4.5,3.0
-83.25,3.0
-162.0,3.0
-240.75,3.0
1.8,2.0
-77.400000000000006,3.0
-156.59999999999999,3.0
-235.80000000000001,3.0
-315.0,3.0
85.5,1.0
13.5,2.0
-58.5,3.0
-130.5,3.0
-202.5,3.0
9.0,2.0
-67.5,3.0
-144.0,3.0
-220.5,3.0
-297.0,3.0
-64.5,3.0
-142.5,3.0
-220.5,3.0
-298.5,3.0
-376.5,3.0
-137.25,3.0
-216.0,3.0
-294.75,3.0
-373.5,3.0
-452.25,3.0
-209.69999999999999,3.0
-288.89999999999998,3.0
-368.10000000000002,3.0
-447.30000000000001,3.0
-526.5,3.0
162.0,1.0
90.0,1.0
18.0,1.0
-54.0,2.0
-126.0,3.0
85.5,1.0
9.0,2.0
-67.5,3.0
-144.0,3.0
-220.5,3.0
12.0,1.0
-66.0,3.0
-144.0,3.0
-222.0,3.0
-300.0,3.0
-60.75,2.0
-139.5,3.0
-218.25,3.0
-297.0,3.0
-375.75,3.0
-133.19999999999999,3.0
-212.40000000000001,3.0
-291.60000000000002,3.0
-370.80000000000001,3.0
-450.0,3.0
238.5,1.0
166.5,1.0
94.5,1.0
22.5,1.0
-49.5,1.0
162.0,1.0
85.5,1.0
9.0,2.0
-67.5,3.0
-144.0,3.0
88.5,1.0
10.5,2.0
-67.5,3.0
-145.5,3.0
-223.5,3.0
15.75,1.0
-63.0,3.0
-141.75,3.0
-220.5,3.0
-299.25,3.0
-56.700000000000003,1.0
-135.90000000000001,3.0
-215.09999999999999,3.0
-294.30000000000001,3.0
-373.5,3.0
315.0,1.0
243.0,1.0
171.0,1.0
99.0,1.0
27.0,1.0
238.5,1.0
162.0,1.0
85.5,1.0
9.0,2.0
-67.5,3.0
165.0,1.0
87.0,1.0
9.0,3.0
-69.0,3.0
-147.0,3.0
92.25,1.0
13.5,2.0
-65.25,3.0
-144.0,3.0
-222.75,3.0
19.800000000000001,1.0
-59.399999999999999,3.0
-138.59999999999999,3.0
-217.80000000000001,3.0
-297.0,3.0
391.5,1.0
319.5,1.0
247.5,1.0
175.5,1.0
103.5,1.0
315.0,1.0
238.5,1.0
162.0,1.0
85.5,1.0
9.0,2.0
241.5,1.0
163.5,1.0
85.5,1.0
7.5,3.0
-70.5,3.0
168.75,1.0
90.0,1.0
11.25,3.0
-67.5,3.0
-146.25,3.0
96.299999999999997,1.0
17.100000000000001,2.0
-62.100000000000001,3.0
-141.30000000000001,3.0
-220.5,3.0
159.0,1.0
87.0,1.0
15.0,2.0
-57.0,3.0
-129.0,3.0
82.5,1.0
6.0,3.0
-70.5,3.0
-147.0,3.0
-223.5,3.0
9.0,2.0
-69.0,3.0
-147.0,3.0
-225.0,3.0
-303.0,3.0
-63.75,3.0
-142.5,3.0
-221.25,3.0
-300.0,3.0
-378.75,3.0
-136.19999999999999,3.0
-215.40000000000001,3.0
-294.60000000000002,3.0
-373.80000000000001,3.0
-453.0,3.0
237.0,1.0
165.0,1.0
93.0,1.0
21.0,1.0
-51.0,1.0
160.5,1.0
84.0,1.0
7.5,2.0
-69.0,3.0
-145.5,3.0
87.0,1.0
9.0,2.0
-69.0,3.0
-147.0,3.0
-225.0,3.0
14.25,1.0
-64.5,3.0
-143.25,3.0
-222.0,3.0
-300.75,3.0
-58.200000000000003,1.0
-137.40000000000001,3.0
-216.59999999999999,3.0
-295.80000000000001,3.0
-375.0,3.0
315.0,1.0
243.0,1.0
171.0,1.0
99.0,1.0
27.0,1.0
238.5,1.0
162.0,1.0
85.5,1.0
9.0,1.0
-67.5,3.0
165.0,1.0
87.0,1.0
9.0,2.0
-69.0,3.0
-147.0,3.0
92.25,1.0
13.5,1.0
-65.25,3.0
-144.0,3.0
-222.75,3.0
19.800000000000001,1.0
-59.399999999999999,3.0
-138.59999999999999,3.0
-217.80000000000001,3.0
-297.0,3.0
393.0,1.0
321.0,1.0
249.0,1.0
177.0,1.0
105.0,1.0
316.5,1.0
240.0,1.0
163.5,1.0
